article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
"2 children dead in Basilan blast in Brgy. Bohe-Piang, Al-Barka, Basilan",2,12,2016,3,150000000,150700000,150709000,-99,926,8008,122.1332466,6.462164971,,
"2 civilians injured, caught in crossfire between military and BIFF (2 sibilyan samdan, napagan sa giyera)",24,3,2015,3,150000000,153800000,153806000,-99,927,5008,124.4501093,7.041280914,,
2 cops hurt in BIFF bombing,4,3,2016,3,150000000,153800000,153825000,-99,926,5017,124.3996371,6.936685813,,
"2 dead, 9 hurt in dynamite blast in Jolo",22,4,2016,3,150000000,156600000,156602000,-99,926,8008,121.0080767,6.058947101,,
2 drivers dead after stabbing incident (2 drayber nag-nilubaay patay),27,5,2014,3,150000000,153800000,153802000,-99,906,3005,124.4186841,7.408218637,,
"2 drug personalities killed, 5 others nabbed",30,5,2020,-98,120000000,-99,-99,129804000,2031,8004,124.2485058,7.219121958,,
"2 drug pushers apprehended (2 pusher, nasapon)",16,1,2017,2,150000000,153800000,153807000,-99,2038,8004,124.2200147,7.149563294,,
2 drug pushers fall in Cotabato City,26,3,2011,3,120000000,-99,-99,129804000,2038,8004,124.2298761,7.215875267,,
"2 families clash, civilians evacuate (2 pamilya nagpinusilay, mga sibilyan namakwit)",3,12,2013,-98,150000000,153800000,153802000,-99,927,3006,124.4186841,7.408218637,,
2 families in firefight (2 ka pamilya nagpinusilay),2,1,2019,-98,150000000,153800000,153810000,-99,927,3006,124.730389,7.074542833,,
"2 families in Maguindanao clash, 1 BPAT wounded (2 ka iladong pamilya sa Maguindanao nag",13,4,2019,-98,150000000,153800000,153825000,-99,927,3006,124.4279743,7.002127315,,
2 farmers die in bomb blast,25,1,2018,-98,150000000,153800000,153837000,-99,926,5017,124.5508619,6.997925547,,
2 feuding families settle disputes,5,12,2019,5,150000000,150700000,150703000,-99,2037,3006,121.8093897,6.596622723,,
2 gov t employees caught selling shabu,30,4,2017,2,120000000,-99,-99,129804000,2036,8004,124.2457088,7.224224435,,
2 grenades thrown at a house in Cotabato City (Balay gilabayan og 2 ka granada),13,6,2014,3,120000000,-99,-99,129804000,926,-98,124.2457088,7.224224435,,
"2 guards gunned down, robbed in Brgy. Bara-as, Picong, Lanao del Sur ",27,8,2015,3,150000000,153600000,153635000,-99,2031,1007,124.0358864,7.686086323,,
2 hurt in Maguindanao explosion (2 sugatan sa pagsabog sa Maguindanao),12,8,2018,3,150000000,153800000,153808000,-99,926,5017,124.462586,6.87663851,,
2 hurt in Sulu clash,8,2,2014,3,150000000,156600000,156613000,-99,927,5008,121.1022942,5.9521498,,
2 IED found on Maguindanao fields (2 IED nakaplagan sa uma sa Maguindanao),23,3,2020,-98,150000000,153800000,153825000,-99,2037,3015,124.3942371,6.954548043,,
2 IEDs explode (2 IED mibusikad),2,7,2018,-98,150000000,153800000,153808000,-99,926,5017,124.4730399,6.869112856,,
2 injured in shooting incident (2 sugatan sa pamamaril),15,3,2020,3,150000000,153800000,153826000,-99,2031,-98,124.4203443,6.960310754,,
2 IS-inspired group members yield ,15,7,2019,-98,150000000,153600000,153628000,-99,2037,3015,124.1606551,7.744742358,,
2 ISIS fighters yield in Lanao,24,11,2020,-98,150000000,153600000,153613000,-99,2037,3015,124.0907232,7.886095509,,
2 jailed for illegal drugs (2 kulong sa ilegal na droga),4,10,2018,2,120000000,-99,-99,129804000,2036,8004,124.2457088,7.224224435,,
2 kids die in Maguindanao blast,1,3,2020,3,150000000,153800000,153824000,-99,926,8008,124.2764278,7.285063576,,
2 kids killed in gov t operation,8,3,2017,-98,150000000,150700000,150713000,-99,927,5017,122.0067105,6.29856217,,
"2 kids, 2 others shot dead in Cotabato City",28,2,2016,3,120000000,-99,-99,129804000,2031,-98,124.2497832,7.223115208,,
2 killed by armed group (2 gipatay sa mga armado),25,10,2013,3,150000000,153800000,153825000,-99,2031,-98,124.4296353,6.988838662,,
2 killed in Basilan gun violence,27,5,2014,3,150000000,150700000,150707000,-99,2031,-98,122.2275294,6.594535026,,
2 killed in Basilan gun violence,27,5,2014,3,150000000,150700000,-99,150702000,2031,-98,122.1403079,6.671018915,,
2 killed in clash between 2 armed groups of BIFF (2 patay sa giyera sa 2 armadong grupo sa BIFF),26,4,2018,-98,150000000,153800000,153837000,-99,927,5002,124.48381,6.898480698,,
"2 killed, 1 injured in duel (2 patay, 1 angin sa duelo)",24,4,2014,3,150000000,150700000,150710000,-99,2031,-98,122.2554538,6.609015401,,
"2 killed, 2 injured in shooting in Cotabato City (2 patay, 2 angol pagpamusil) ",3,8,2014,3,120000000,-99,-99,129804000,2031,-98,124.2416605,7.225171479,,
"2 killed, 5 hurt in Basilan clash",7,2,2014,-98,150000000,150700000,150705000,-99,927,7007,122.0155491,6.4829046,,
"2 killed, 6 wounded in clash of MILF members (2 patay, 6 sugatan sa away ng miyembro ng MILF)",20,1,2018,-98,150000000,153800000,153826000,-99,927,5002,124.465993,6.976280188,,
"2 killed, 7 injured in Sulu clash ",29,8,2020,-98,150000000,156600000,156611000,-99,927,3015,121.0901093,6.04808606,,
"2 killed, 7 wounded in clash of soldiers, bandits in Sulu ",29,8,2020,-98,150000000,156600000,156611000,-99,927,3015,121.0901093,6.04808606,,
